description,Price,Rate,Count_reviews,URL,Image
"Lapsouno Travel Laptop Backpack, Multiple Pockets 17.3 Inch Carry on Backpack with USB Port, TSA Friendly Water Resistant Business Travel Bag for Women,School College Student Backpack for Women,Purple",$39.98,4.7 out of 5 stars,431,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A084657457YF3GNDQFXV&url=%2FLapsouno-Backpack-Multiple-Resistant-Business%2Fdp%2FB09HXQ4D1T%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-1-spons%26psc%3D1&qualifier=1657428121&id=3119944209656656&widgetName=sp_atf,https://m.media-amazon.com/images/I/81qDVuPBpJL._AC_UY218_.jpg
ZOEO Blue Baseball Bookbags Chic 3th 4th 5th Grade School Backpacks Travel Laptop Daypack Bag Purse for Girls Boys Teens,$33.99,4.6 out of 5 stars,476,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07221031LDPOO2T9KZGR&url=%2FZOEO-Baseball-Bookbags-Backpacks-Daypack%2Fdp%2FB07NVNKXL7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-2-spons%26psc%3D1%26smid%3DA1CDNN25GODXEZ&qualifier=1657428121&id=3119944209656656&widgetName=sp_atf,https://m.media-amazon.com/images/I/71LNvZifz1L._AC_UY218_.jpg
"Matein Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook, Grey",$29.99,4.8 out of 5 stars,"64,933",https://www.amazon.com//Backpack-Business-Charging-Resistant-Computer/dp/B06XZTZ7GB/ref=sr_1_3?keywords=school+bag&qid=1657428121&sr=8-3,https://m.media-amazon.com/images/I/81p91cnIFEL._AC_UY218_.jpg
"Laptop Backpack,Business Travel Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant College School Computer Bag for Women & Men Fits 15.6 Inch Laptop and Notebook - Black",$31.99,4.7 out of 5 stars,"20,851",https://www.amazon.com//Backpack-Business-Charging-Resistant-Computer/dp/B07F2YJRN2/ref=sr_1_omk_4?keywords=school+bag&qid=1657428121&sr=8-4,https://m.media-amazon.com/images/I/81idlqFqcUL._AC_UY218_.jpg
"adidas Back to School BTS Creator Backpack, Stone Wash Grey/Bliss Lilac Purple/Almost Blue, One Size",$32.00,4.7 out of 5 stars,628,https://www.amazon.com//adidas-Kids-Boys-Creator-Backpack-Purple/dp/B09G879MH2/ref=sr_1_5?keywords=school+bag&qid=1657428121&sr=8-5,https://m.media-amazon.com/images/I/911qF6xzUQL._AC_UY218_.jpg
"JanSport Cool Student Backpack - School, Travel, or Work Bookbag with 15-Inch Laptop Pack",$54.99,4.8 out of 5 stars,"8,227",https://www.amazon.com//JanSport-Classic-Mainstream-Student-Backpack/dp/B01A6BPAN4/ref=sr_1_6?keywords=school+bag&qid=1657428121&sr=8-6,https://m.media-amazon.com/images/I/91h5GCvpZJL._AC_UY218_.jpg
Amazon Basics School Laptop Backpack - Black,$28.32,4.5 out of 5 stars,"1,275",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A002859929XEE730OVY8N&url=%2FAmazonBasics-NC1711103R3-Everyday-Backpack-Black%2Fdp%2FB07FNSZCKY%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-7-spons%26psc%3D1&qualifier=1657428121&id=3119944209656656&widgetName=sp_mtf,https://m.media-amazon.com/images/I/91KBxenwzNL._AC_UY218_.jpg
JanSport SuperBreak One Backpack - Lightweight School Bookbag,$36.00,4.7 out of 5 stars,"29,544",https://www.amazon.com//JanSport-Superbreak-Backpack-Jansport-Black/dp/B0007QCQGI/ref=sr_1_8?keywords=school+bag&qid=1657428121&sr=8-8,https://m.media-amazon.com/images/I/91HkBT96VML._AC_UY218_.jpg
"LOVEVOOK Laptop Backpack, Water Resistant Travel Backpacks for Women Men, College School Backpack Student Bookbag",$31.99,4.7 out of 5 stars,445,https://www.amazon.com//Classic-Backpack-Capacity-Backpacks-Resistant/dp/B094FWCJMQ/ref=sr_1_9?keywords=school+bag&qid=1657428121&sr=8-9,https://m.media-amazon.com/images/I/71ahU8ZibTL._AC_UY218_.jpg
Extra Large 52L Travel Laptop Backpack with USB Charging Port Fit 17 Inch Laptops for Men Women,$39.99,4.8 out of 5 stars,"17,681",https://www.amazon.com//Travel-Laptop-Backpack-Charging-Laptops/dp/B07V4R4Z77/ref=sr_1_10?keywords=school+bag&qid=1657428121&sr=8-10,https://m.media-amazon.com/images/I/61Ns-H-YLtL._AC_UY218_.jpg
"Travel Backpack, Extra Large 50L Laptop Backpacks for Men Women, Water Resistant College School Bookbag Airline Approved Business Work Bag with USB Charging Port Fits 17 Inch Computer, Black",$39.99,4.7 out of 5 stars,"31,981",https://www.amazon.com//Backpack-Charging-Friendly-Resistant-Business/dp/B071ZYHCM6/ref=sr_1_11?keywords=school+bag&qid=1657428121&sr=8-11,https://m.media-amazon.com/images/I/71Nv2xl+KjL._AC_UY218_.jpg
VANKEAN Laptop Briefcase Premium Laptop Case Fits Up to 17.3 Inch Business Shoulder Bag Laptop Expandable Water-Repellent Messenger Bag for Men/ Women Computer Bag for Travel/ Business/ School-Black,$35.99,4.7 out of 5 stars,547,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0876921442UE5X2X7OS&url=%2FVANKEAN-Briefcase-Expandable-Water-Repellent-School-Black%2Fdp%2FB092PZ7TTL%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-12-spons%26psc%3D1&qualifier=1657428121&id=3119944209656656&widgetName=sp_mtf,https://m.media-amazon.com/images/I/815irfwoHsS._AC_UY218_.jpg
"MOSISO 15.6-16 inch Laptop Backpack for Women Girls, Polyester Anti-Theft Stylish Casual Daypack Bag with Luggage Strap & USB Charging Port, Camellia Travel Business College School Bookbag, Black",$28.99,4.6 out of 5 stars,"1,169",https://www.amazon.com//MOSISO-Backpack-Repellent-Anti-Theft-Charging/dp/B082XC2149/ref=sr_1_13?keywords=school+bag&qid=1657428121&sr=8-13,https://m.media-amazon.com/images/I/71goAEPdnrS._AC_UY218_.jpg
"Laptop Bag for Women, 15.6 inch Computer Briefcase Sleeve Case, Large Water-resistant Messenger Work Bag with Crossbody Shoulder Strap Gift for Office, Travel, Business, School 15.6 Notebook, Pink",$29.99,4.6 out of 5 stars,169,https://www.amazon.com//Computer-Briefcase-Water-resistant-Messenger-Shoulder/dp/B099K1LM7F/ref=sr_1_14?keywords=school+bag&qid=1657428121&sr=8-14,https://m.media-amazon.com/images/I/81I8bGkS8XL._AC_UY218_.jpg
Kids Backpack for Boys Elementary Kindergarten Preschool School Bag 16 inch Multifunctional Cute Large Capacity,$31.99,4.8 out of 5 stars,"1,264",https://www.amazon.com//Backpack-Elementary-Kindergarten-Preschool-Multifunctional/dp/B0967Z357D/ref=sr_1_15?keywords=school+bag&qid=1657428121&sr=8-15,https://m.media-amazon.com/images/I/91lbEk1TQsS._AC_UY218_.jpg
PUMA Kids' Meridian Backpack,$24.71,4.6 out of 5 stars,"2,109",https://www.amazon.com//PUMA-Evercat-Meridian-Backpack-silver/dp/B0792FK7TW/ref=sr_1_16?keywords=school+bag&qid=1657428121&sr=8-16,https://m.media-amazon.com/images/I/91Iyfv2iaIL._AC_UY218_.jpg
Monsdle Travel Laptop Backpack Anti Theft Water Resistant Backpacks School Computer Bookbag with USB Charging Port for Men Women College Students Fits 15.6 Inch Laptop (Black),$22.09,4.6 out of 5 stars,"6,609",https://www.amazon.com//Monsdle-Backpack-Resistant-Backpacks-Computer/dp/B08DHLJ13J/ref=sr_1_17?keywords=school+bag&qid=1657428121&sr=8-17,https://m.media-amazon.com/images/I/714bAHH6LrL._AC_UY218_.jpg
"Lunch Bags for Women, Cooler Lunchbox Insulated Work Backpack with USB Charging Port, Water Resistant Travel Computer Bag College School Bookbag Fits 15.6 Inch Laptop Friendship Gift for Women , Grey",$30.99,4.6 out of 5 stars,"1,310",https://www.amazon.com//Insulated-Backpack-Lunchbox-Charging-Resistant/dp/B08N1CM966/ref=sr_1_18?keywords=school+bag&qid=1657428121&sr=8-18,https://m.media-amazon.com/images/I/81ZHtU5Qd7L._AC_UY218_.jpg
"adidas Striker 2 Team Backpack, Black/White, One Size",$36.56,4.8 out of 5 stars,"6,290",https://www.amazon.com//adidas-Striker-Backpack-Black-White/dp/B071VTPL1B/ref=sr_1_19?keywords=school+bag&qid=1657428121&sr=8-19,https://m.media-amazon.com/images/I/8157LlahtLS._AC_UY218_.jpg
"Laptop Backpack for Women Travel Backpack BAGSMART 15.6 Inch Computer Back Pack with USB Charging Port School Bookbag for College Work Business, Black",$39.99,4.7 out of 5 stars,"1,786",https://www.amazon.com//backpack-Bagsmart-Business-Backpacks-Charging/dp/B096VRST19/ref=sr_1_20?keywords=school+bag&qid=1657428121&sr=8-20,https://m.media-amazon.com/images/I/71kI3lRy3VL._AC_UY218_.jpg
"Amazon Basics School Backpack, Grey",$33.40,4.6 out of 5 stars,184,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07547467K5JV3TUV43R&url=%2FAmazonBasics-SP-14200-43373-School-Backpack-Grey%2Fdp%2FB07RNLBQ8C%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-21-spons%26psc%3D1&qualifier=1657428121&id=3119944209656656&widgetName=sp_btf,https://m.media-amazon.com/images/I/91+C5+4yPoL._AC_UY218_.jpg
Starry Blue Laptop Bookbag for Men Waterproof Travel Bag Backpack for School Boys 16.5 inch,$38.99,5.0 out of 5 stars,2,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0918152ZEEX1MVKYZ9X&url=%2FStarry-Laptop-Bookbag-Waterproof-Backpack%2Fdp%2FB09QPBTKP2%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-22-spons%26psc%3D1&qualifier=1657428121&id=3119944209656656&widgetName=sp_btf,https://m.media-amazon.com/images/I/71bJduZjiKL._AC_UY218_.jpg
"Lapsouno Travel Laptop Backpack, Multiple Pockets 17.3 Inch Carry on Backpack with USB Port, TSA Friendly Water Resistant Business Travel Bag for Women,School College Student Backpack for Women,Purple",$39.98,4.7 out of 5 stars,431,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A084657457YF3GNDQFXV&url=%2FLapsouno-Backpack-Multiple-Resistant-Business%2Fdp%2FB09HXQ4D1T%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428148%26sr%3D8-1-spons%26psc%3D1&qualifier=1657428148&id=641341529180223&widgetName=sp_atf,https://m.media-amazon.com/images/I/81qDVuPBpJL._AC_UY218_.jpg
ZOEO Blue Baseball Bookbags Chic 3th 4th 5th Grade School Backpacks Travel Laptop Daypack Bag Purse for Girls Boys Teens,$33.99,4.6 out of 5 stars,476,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07221031LDPOO2T9KZGR&url=%2FZOEO-Baseball-Bookbags-Backpacks-Daypack%2Fdp%2FB07NVNKXL7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428148%26sr%3D8-2-spons%26psc%3D1%26smid%3DA1CDNN25GODXEZ&qualifier=1657428148&id=641341529180223&widgetName=sp_atf,https://m.media-amazon.com/images/I/71LNvZifz1L._AC_UY218_.jpg
"Matein Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook, Grey",$29.99,4.8 out of 5 stars,"64,933",https://www.amazon.com//Backpack-Business-Charging-Resistant-Computer/dp/B06XZTZ7GB/ref=sr_1_3?keywords=school+bag&qid=1657428148&sr=8-3,https://m.media-amazon.com/images/I/81p91cnIFEL._AC_UY218_.jpg
"Laptop Backpack,Business Travel Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant College School Computer Bag for Women & Men Fits 15.6 Inch Laptop and Notebook - Black",$31.99,4.7 out of 5 stars,"20,851",https://www.amazon.com//Backpack-Business-Charging-Resistant-Computer/dp/B07F2YJRN2/ref=sr_1_omk_4?keywords=school+bag&qid=1657428148&sr=8-4,https://m.media-amazon.com/images/I/81idlqFqcUL._AC_UY218_.jpg
"adidas Back to School BTS Creator Backpack, Stone Wash Grey/Bliss Lilac Purple/Almost Blue, One Size",$32.00,4.7 out of 5 stars,628,https://www.amazon.com//adidas-Kids-Boys-Creator-Backpack-Purple/dp/B09G879MH2/ref=sr_1_5?keywords=school+bag&qid=1657428148&sr=8-5,https://m.media-amazon.com/images/I/911qF6xzUQL._AC_UY218_.jpg
"JanSport Cool Student Backpack - School, Travel, or Work Bookbag with 15-Inch Laptop Pack",$54.99,4.8 out of 5 stars,"8,227",https://www.amazon.com//JanSport-Classic-Mainstream-Student-Backpack/dp/B01A6BPAN4/ref=sr_1_6?keywords=school+bag&qid=1657428148&sr=8-6,https://m.media-amazon.com/images/I/91h5GCvpZJL._AC_UY218_.jpg
Amazon Basics School Laptop Backpack - Black,$28.32,4.5 out of 5 stars,"1,275",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A002859929XEE730OVY8N&url=%2FAmazonBasics-NC1711103R3-Everyday-Backpack-Black%2Fdp%2FB07FNSZCKY%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428148%26sr%3D8-7-spons%26psc%3D1&qualifier=1657428148&id=641341529180223&widgetName=sp_mtf,https://m.media-amazon.com/images/I/91KBxenwzNL._AC_UY218_.jpg
JanSport SuperBreak One Backpack - Lightweight School Bookbag,$36.00,4.7 out of 5 stars,"29,544",https://www.amazon.com//JanSport-Superbreak-Backpack-Jansport-Black/dp/B0007QCQGI/ref=sr_1_8?keywords=school+bag&qid=1657428148&sr=8-8,https://m.media-amazon.com/images/I/91HkBT96VML._AC_UY218_.jpg
"LOVEVOOK Laptop Backpack, Water Resistant Travel Backpacks for Women Men, College School Backpack Student Bookbag",$31.99,4.7 out of 5 stars,445,https://www.amazon.com//Classic-Backpack-Capacity-Backpacks-Resistant/dp/B094FWCJMQ/ref=sr_1_9?keywords=school+bag&qid=1657428148&sr=8-9,https://m.media-amazon.com/images/I/71ahU8ZibTL._AC_UY218_.jpg
Extra Large 52L Travel Laptop Backpack with USB Charging Port Fit 17 Inch Laptops for Men Women,$39.99,4.8 out of 5 stars,"17,681",https://www.amazon.com//Travel-Laptop-Backpack-Charging-Laptops/dp/B07V4R4Z77/ref=sr_1_10?keywords=school+bag&qid=1657428148&sr=8-10,https://m.media-amazon.com/images/I/61Ns-H-YLtL._AC_UY218_.jpg
"Travel Backpack, Extra Large 50L Laptop Backpacks for Men Women, Water Resistant College School Bookbag Airline Approved Business Work Bag with USB Charging Port Fits 17 Inch Computer, Black",$39.99,4.7 out of 5 stars,"31,981",https://www.amazon.com//Backpack-Charging-Friendly-Resistant-Business/dp/B071ZYHCM6/ref=sr_1_11?keywords=school+bag&qid=1657428148&sr=8-11,https://m.media-amazon.com/images/I/71Nv2xl+KjL._AC_UY218_.jpg
VANKEAN Laptop Briefcase Premium Laptop Case Fits Up to 17.3 Inch Business Shoulder Bag Laptop Expandable Water-Repellent Messenger Bag for Men/ Women Computer Bag for Travel/ Business/ School-Black,$35.99,4.7 out of 5 stars,547,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0876921442UE5X2X7OS&url=%2FVANKEAN-Briefcase-Expandable-Water-Repellent-School-Black%2Fdp%2FB092PZ7TTL%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428148%26sr%3D8-12-spons%26psc%3D1&qualifier=1657428148&id=641341529180223&widgetName=sp_mtf,https://m.media-amazon.com/images/I/815irfwoHsS._AC_UY218_.jpg
"MOSISO 15.6-16 inch Laptop Backpack for Women Girls, Polyester Anti-Theft Stylish Casual Daypack Bag with Luggage Strap & USB Charging Port, Camellia Travel Business College School Bookbag, Black",$28.99,4.6 out of 5 stars,"1,169",https://www.amazon.com//MOSISO-Backpack-Repellent-Anti-Theft-Charging/dp/B082XC2149/ref=sr_1_13?keywords=school+bag&qid=1657428148&sr=8-13,https://m.media-amazon.com/images/I/71goAEPdnrS._AC_UY218_.jpg
"Laptop Bag for Women, 15.6 inch Computer Briefcase Sleeve Case, Large Water-resistant Messenger Work Bag with Crossbody Shoulder Strap Gift for Office, Travel, Business, School 15.6 Notebook, Pink",$29.99,4.6 out of 5 stars,169,https://www.amazon.com//Computer-Briefcase-Water-resistant-Messenger-Shoulder/dp/B099K1LM7F/ref=sr_1_14?keywords=school+bag&qid=1657428148&sr=8-14,https://m.media-amazon.com/images/I/81I8bGkS8XL._AC_UY218_.jpg
Kids Backpack for Boys Elementary Kindergarten Preschool School Bag 16 inch Multifunctional Cute Large Capacity,$31.99,4.8 out of 5 stars,"1,264",https://www.amazon.com//Backpack-Elementary-Kindergarten-Preschool-Multifunctional/dp/B0967Z357D/ref=sr_1_15?keywords=school+bag&qid=1657428148&sr=8-15,https://m.media-amazon.com/images/I/91lbEk1TQsS._AC_UY218_.jpg
PUMA Kids' Meridian Backpack,$24.71,4.6 out of 5 stars,"2,109",https://www.amazon.com//PUMA-Evercat-Meridian-Backpack-silver/dp/B0792FK7TW/ref=sr_1_16?keywords=school+bag&qid=1657428148&sr=8-16,https://m.media-amazon.com/images/I/91Iyfv2iaIL._AC_UY218_.jpg
"Laptop Backpack 17 Inch Travel Backpack with USB Charging Port Waterproof TSA Friendly Large Computer Backpack for Men Women Work College School Lunch Backpack with Cooler Compartment,Black",$29.99, , ,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09832352LAY2O0OFJ4Z3&url=%2FBackpack-Charging-Waterproof-Friendly-Compartment%2Fdp%2FB09YLDZFM4%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428148%26sr%3D8-17-spons%26psc%3D1&qualifier=1657428148&id=641341529180223&widgetName=sp_mtf,https://m.media-amazon.com/images/I/81-oQ2GzObL._AC_UY218_.jpg
Monsdle Travel Laptop Backpack Anti Theft Water Resistant Backpacks School Computer Bookbag with USB Charging Port for Men Women College Students Fits 15.6 Inch Laptop (Black),$22.09,4.6 out of 5 stars,"6,609",https://www.amazon.com//Monsdle-Backpack-Resistant-Backpacks-Computer/dp/B08DHLJ13J/ref=sr_1_18?keywords=school+bag&qid=1657428148&sr=8-18,https://m.media-amazon.com/images/I/714bAHH6LrL._AC_UY218_.jpg
"Lunch Bags for Women, Cooler Lunchbox Insulated Work Backpack with USB Charging Port, Water Resistant Travel Computer Bag College School Bookbag Fits 15.6 Inch Laptop Friendship Gift for Women , Grey",$30.99,4.6 out of 5 stars,"1,310",https://www.amazon.com//Insulated-Backpack-Lunchbox-Charging-Resistant/dp/B08N1CM966/ref=sr_1_19?keywords=school+bag&qid=1657428148&sr=8-19,https://m.media-amazon.com/images/I/81ZHtU5Qd7L._AC_UY218_.jpg
"adidas Striker 2 Team Backpack, Black/White, One Size",$36.56,4.8 out of 5 stars,"6,290",https://www.amazon.com//adidas-Striker-Backpack-Black-White/dp/B071VTPL1B/ref=sr_1_20?keywords=school+bag&qid=1657428148&sr=8-20,https://m.media-amazon.com/images/I/8157LlahtLS._AC_UY218_.jpg
"Laptop Backpack for Women Travel Backpack BAGSMART 15.6 Inch Computer Back Pack with USB Charging Port School Bookbag for College Work Business, Black",$39.99,4.7 out of 5 stars,"1,786",https://www.amazon.com//backpack-Bagsmart-Business-Backpacks-Charging/dp/B096VRST19/ref=sr_1_21?keywords=school+bag&qid=1657428148&sr=8-21,https://m.media-amazon.com/images/I/71kI3lRy3VL._AC_UY218_.jpg
"Amazon Basics School Backpack, Grey",$33.40,4.6 out of 5 stars,184,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07547467K5JV3TUV43R&url=%2FAmazonBasics-SP-14200-43373-School-Backpack-Grey%2Fdp%2FB07RNLBQ8C%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428148%26sr%3D8-22-spons%26psc%3D1&qualifier=1657428148&id=641341529180223&widgetName=sp_btf,https://m.media-amazon.com/images/I/91+C5+4yPoL._AC_UY218_.jpg
